,file,fold
0,../../../input/train_png/7ccd6cf0-bbb2-11e8-b2ba-ac1f6b6435d0.png,0
1,../../../input/train_png/26dd1772-bba9-11e8-b2ba-ac1f6b6435d0.png,1
2,../../../input/train_png/b0eb1494-bba6-11e8-b2ba-ac1f6b6435d0.png,2
3,../../../input/train_png/47bbb828-bba8-11e8-b2ba-ac1f6b6435d0.png,3
4,../../../input/train_png/efeeb0ae-bba3-11e8-b2b9-ac1f6b6435d0.png,4
5,../../../input/train_png/4f1db0f4-bbca-11e8-b2bc-ac1f6b6435d0.png,0
6,../../../input/train_png/b09e2f66-bbb1-11e8-b2ba-ac1f6b6435d0.png,1
7,../../../input/train_png/4382483a-bba8-11e8-b2ba-ac1f6b6435d0.png,2
8,../../../input/train_png/0d3d7f56-bbb2-11e8-b2ba-ac1f6b6435d0.png,3
9,../../../input/train_png/d475e0ba-bbba-11e8-b2ba-ac1f6b6435d0.png,4
10,../../../input/train_png/ae798696-bbab-11e8-b2ba-ac1f6b6435d0.png,0
11,../../../input/train_png/9fbaa794-bbc3-11e8-b2bc-ac1f6b6435d0.png,1
12,../../../input/train_png/59d72a3c-bbc7-11e8-b2bc-ac1f6b6435d0.png,2
13,../../../input/train_png/5b97ba74-bbb0-11e8-b2ba-ac1f6b6435d0.png,3
14,../../../input/train_png/accebca6-bba8-11e8-b2ba-ac1f6b6435d0.png,4
15,../../../input/train_png/c02be19a-bbc9-11e8-b2bc-ac1f6b6435d0.png,0
16,../../../input/train_png/07249288-bbc3-11e8-b2bc-ac1f6b6435d0.png,1
17,../../../input/train_png/2d53af7c-bbc1-11e8-b2bb-ac1f6b6435d0.png,2
18,../../../input/train_png/15b85cce-bbc0-11e8-b2bb-ac1f6b6435d0.png,3
19,../../../input/train_png/68801b82-bbb0-11e8-b2ba-ac1f6b6435d0.png,4
20,../../../input/train_png/6ad0c18e-bba6-11e8-b2ba-ac1f6b6435d0.png,0
21,../../../input/train_png/b78c08c0-bbbb-11e8-b2ba-ac1f6b6435d0.png,1
22,../../../input/train_png/340342d0-bbb5-11e8-b2ba-ac1f6b6435d0.png,2
23,../../../input/train_png/5f300c9c-bbc2-11e8-b2bb-ac1f6b6435d0.png,3
24,../../../input/train_png/31823cca-bbc2-11e8-b2bb-ac1f6b6435d0.png,4
25,../../../input/train_png/36133874-bbc3-11e8-b2bc-ac1f6b6435d0.png,0
26,../../../input/train_png/369de974-bba0-11e8-b2b9-ac1f6b6435d0.png,1
27,../../../input/train_png/0df5fe58-bba5-11e8-b2ba-ac1f6b6435d0.png,2
28,../../../input/train_png/2281cac2-bbc4-11e8-b2bc-ac1f6b6435d0.png,3
29,../../../input/train_png/eafe28ba-bbab-11e8-b2ba-ac1f6b6435d0.png,4
30,../../../input/train_png/2b4f6794-bb9d-11e8-b2b9-ac1f6b6435d0.png,0
31,../../../input/train_png/570c802c-bbc7-11e8-b2bc-ac1f6b6435d0.png,1
32,../../../input/train_png/91bb1820-bbca-11e8-b2bc-ac1f6b6435d0.png,2
33,../../../input/train_png/32c20e16-bbc3-11e8-b2bc-ac1f6b6435d0.png,3
34,../../../input/train_png/570fb274-bb9f-11e8-b2b9-ac1f6b6435d0.png,4
35,../../../input/train_png/6809ac68-bbc9-11e8-b2bc-ac1f6b6435d0.png,0
36,../../../input/train_png/0d1f1f60-bbc7-11e8-b2bc-ac1f6b6435d0.png,1
37,../../../input/train_png/dd3440de-bba1-11e8-b2b9-ac1f6b6435d0.png,2
38,../../../input/train_png/8f02d01c-bbb3-11e8-b2ba-ac1f6b6435d0.png,3
39,../../../input/train_png/5684546e-bbc6-11e8-b2bc-ac1f6b6435d0.png,4
40,../../../input/train_png/1ebb9086-bba0-11e8-b2b9-ac1f6b6435d0.png,0
41,../../../input/train_png/f71dc1c8-bb9c-11e8-b2b9-ac1f6b6435d0.png,1
42,../../../input/train_png/69e3929c-bbb5-11e8-b2ba-ac1f6b6435d0.png,2
43,../../../input/train_png/1a40336e-bba9-11e8-b2ba-ac1f6b6435d0.png,3
44,../../../input/train_png/4cfe8bac-bbae-11e8-b2ba-ac1f6b6435d0.png,4
