,blue_corr_with_green,blue_mask_green_mean,blue_mean,blue_non_zero_mean,blue_std,green_mean,green_non_zero_mean,green_std,luminosity,red_corr_with_green,red_mask_green_mean,red_mean,red_non_zero_mean,red_std,size
1009_B6_2,0.5706130637062473,0.11195181550810265,0.05982345506256701,0.39751625061035156,0.1496710283145399,0.07475262997197166,0.6771736145019531,0.11356894576064164,0.08083567438200412,0.5706130637062473,0.10691534137155662,0.10843527737785791,0.6831221580505371,0.16181955715498034,2048
1020_B1_7,0.32830222855626195,0.13501183566428365,0.09532724455291149,0.5323784351348877,0.18042300470377276,0.08843752262639068,0.7441725730895996,0.12178382023563733,0.08354466016021422,0.32830222855626195,0.11500891564660741,0.06308333453010108,0.6252682209014893,0.11356075832055307,2048
1020_C5_3,0.22233194661585481,0.09816807006055761,0.08437971975289145,0.4586336612701416,0.1783234199842824,0.05791654773786957,0.6584591865539551,0.09868342593089338,0.06309072787565344,0.22233194661585481,0.07556635694823075,0.07326715506759342,0.6336696147918701,0.12212318824457621,2048
1027_C4_1,0.2213251404566712,0.04942810498689011,0.13065567110099036,0.5677156448364258,0.23505531069623342,0.040352262235155256,0.680121660232544,0.09480998983323707,0.08755835448265088,0.2213251404566712,0.04391400347805894,0.23172660902434714,0.8969154357910156,0.23256283881441525,2048
1030_D8_2,0.11106057363686576,0.11236791321135399,0.19121723923028697,0.651639461517334,0.27899139334216494,0.0885084918901032,0.8950090408325195,0.1112136819529994,0.12457026235393448,0.11106057363686576,0.08643860830371153,0.22325072569005647,0.9181981086730957,0.2251696069108776,2048
1037_F4_3,0.29317487658148084,0.013597235155040062,0.07643556127361222,0.365781307220459,0.18794339050157732,0.00629707691716213,0.3588287830352783,0.015422436483819038,0.03324781033123242,0.29317487658148084,0.009371508222371323,0.10924503008524569,0.6453840732574463,0.1673392276630571,2048
1039_C3_2,0.3104931816070374,0.02908385556522554,0.11391075919656193,0.6036906242370605,0.18548414382969422,0.022479005888396606,0.7774958610534668,0.03323456026940307,0.053434512442046514,0.3104931816070374,0.023470130633480146,0.13703278747259406,0.9365341663360596,0.13401003268207468,2048
1042_C3_3,0.1659360977648623,0.011456288555137245,0.1327841833526014,0.5309958457946777,0.22407742304391515,0.008093056959264416,0.37386417388916016,0.03151608047255513,0.047784304991890535,0.1659360977648623,0.009972571063341337,0.15244182792364394,0.7763557434082031,0.1855028358228548,2048
1049_D11_2,0.33134435773439924,0.21184692219496615,0.05927866019454656,0.3971717357635498,0.14669517239890467,0.10482724975137153,0.6424496173858643,0.1571436325827194,0.11126707456326948,0.33134435773439924,0.15668072064147004,0.15058657702277695,0.6361186504364014,0.20998641989696465,2048
1050_F1_3,0.3300943012892182,0.19423699075060946,0.06129928102680282,0.4134397506713867,0.16970990741022682,0.1066025313209086,0.6847937107086182,0.17149117709990605,0.12570093177608413,0.3300943012892182,0.13537294543810938,0.21182028826545266,0.7352087497711182,0.25569623782934703,2048
