Id,Target
1639_A8_6_classes_25_5_0,25 5 0
291_D7_1_classes_25_21_7_4,25 21 7 4
506_B3_2_classes_7_2,7 2
906_A7_1_classes_7,7
102_A8_1_classes_1_0,1 0
88_D7_1_classes_8,8
1320_H1_3_classes_2,2
297_F4_3_classes_23,23
1345_B3_3_classes_21_0,21 0
423_B9_1_classes_5,5
489_F1_2_classes_7,7
528_C1_2_classes_25_12,25 12
970_H1_4_classes_25_18,25 18
719_E3_2_classes_25_21,25 21
1398_A6_1_classes_23_0,23 0
502_C9_1_classes_25_21,25 21
683_A11_1_classes_7_0,7 0
1056_C10_1_classes_6,6
20_G2_1_classes_25_2,25 2
465_G8_2_classes_7,7
378_B10_1_classes_23,23
1154_E12_2_classes_2_0,2 0
264_C5_2_classes_21_0,21 0
697_A6_4_classes_19_0,19 0
618_A4_2_classes_23,23
1376_G11_3_classes_25_6,25 6
55_F7_2_classes_23,23
932_E2_1_classes_6,6
273_E3_1_classes_1,1
277_G8_1_classes_19_7_0,19 7 0
1276_E4_1_classes_7_0,7 0
9_D5_2_classes_25_5,25 5
924_F12_1_classes_27,27
942_B12_2_classes_5_0,5 0
277_H11_1_classes_21_0,21 0
547_E7_3_classes_19_0,19 0
799_D5_1_classes_23,23
21_D4_1_classes_23,23
59_B9_1_classes_21,21
265_C2_2_classes_25_21,25 21
56_H3_1_classes_25_7_0,25 7 0
799_C9_2_classes_14,14
1026_H6_2_classes_12,12
1129_G5_1_classes_22,22
110_G6_1_classes_2,2
1028_G8_2_classes_25_21_0,25 21 0
366_D3_2_classes_1,1
140_F11_2_classes_4,4
972_D11_1_classes_2_0,2 0
1350_A1_2_classes_25_2_0,25 2 0
10_H9_1_classes_25_21_0,25 21 0
806_F7_1_classes_3,3
1683_F7_14_cr5805392412353_classes_26_0,26 0
685_F6_2_classes_23,23
1283_F10_4_classes_16_0,16 0
615_B3_2_classes_22,22
1376_E5_3_classes_23,23
1375_D12_4_classes_22,22
590_B11_1_classes_23,23
762_A5_1_classes_25_21,25 21
448_E1_1_classes_25_21,25 21
440_E10_2_classes_7,7
874_F6_1_classes_21,21
767_E4_2_classes_5_0,5 0
177_E7_1_classes_25_2,25 2
651_C9_2_classes_12,12
436_A12_4_classes_23,23
1193_E3_1_classes_7,7
1503_C11_1_classes_4_2,4 2
529_B8_1_classes_2,2
448_H4_1_classes_2,2
192_C11_2_classes_25_7_0,25 7 0
958_E10_1_classes_22_0,22 0
1223_D2_3_classes_25_3,25 3
1743_G1_28_cr57ff94ee6d957_classes_21_4,21 4
183_B11_1_classes_23,23
1082_B2_2_classes_2_0,2 0
301_D6_2_classes_5,5
1694_G2_28_cr57ceae1915249_classes_23,23
1174_B3_6_classes_3,3
1419_H1_1_classes_2,2
1233_E4_5_classes_25_21,25 21
1103_D11_2_classes_23,23
1045_D8_2_classes_23,23
1242_E4_2_classes_23_0,23 0
279_F12_2_classes_7,7
283_F2_2_classes_6,6
192_A11_2_classes_2,2
475_A9_3_classes_25_21,25 21
1244_C12_3_classes_23_20_0,23 20 0
73_H8_1_classes_2,2
77_A3_1_classes_25_13,25 13
97_H3_2_classes_21_0,21 0
88_G2_1_classes_25_6,25 6
1232_H7_2_classes_25_6,25 6
821_E4_1_classes_7,7
462_H8_4_classes_23,23
