Id,Target
1677_F6_2_classes_25_2,25 2
1013_E3_1_classes_25_21_0,0 25 21
1383_A5_3_classes_21,21
112_C9_2_classes_21_0,0 21
1241_G12_1_classes_2_0,0 2
895_F5_3_classes_2_0,0 2
24_B9_2_classes_25_21_12,25 12 21
1787_H4_24_cr5968c4f252599_classes_25_21_0,0 25 21
108_G1_1_classes_4,4
622_A5_6_classes_25_21,25 21
1732_G2_8_cr58060c484a3c0_classes_21,21
1017_C5_2_classes_21_3_0,0 3 21
473_F5_3_classes_25_21_0,0 25 21
528_A11_3_classes_2_0,0 2
175_G3_2_classes_5_0,0 5
321_G10_1_classes_7,7
48_E7_2_classes_23,23
232_D9_1_classes_14,14
8_G9_1_classes_25_7,25 7
1774_B3_8_cr595df1a346e7a_classes_21_0,0 21
646_D7_2_classes_25_21,25 21
126_G11_1_classes_23_2,2 23
997_F3_6_classes_25_21_12,25 12 21
820_G4_3_classes_10_9,9 10
21_B10_1_classes_1,1
436_F6_2_classes_25_21,25 21
859_C5_1_classes_7,7
492_D12_2_classes_14,14
885_B9_2_classes_18,18
199_E10_1_classes_4,4
197_A10_2_classes_25_21_0,0 25 21
427_E10_2_classes_25_23,25 23
560_F12_2_classes_25_21,25 21
171_B5_2_classes_14,14
913_F5_4_classes_23,23
89_B5_1_classes_6,6
125_G10_2_classes_25_12,25 12
87_D5_1_classes_23_0,0 23
118_G1_2_classes_21_0,0 21
1336_A3_3_classes_2_0,0 2
96_G3_2_classes_7,7
1081_F11_2_classes_22_0,0 22
334_F9_2_classes_25_21,25 21
1186_E12_3_classes_25_2_0,0 25 2
404_C11_2_classes_19,19
614_D3_4_classes_21_19,19 21
1257_A7_3_classes_23_14,14 23
1005_B11_1_classes_2,2
1370_F10_7_classes_7_3_0,0 3 7
941_E6_1_classes_7,7
20_C11_2_classes_25_19_2_0,0 25 2 19
1254_A6_1_classes_5_0,0 5
659_C2_2_classes_7,7
614_A1_4_classes_25_3,25 3
56_B3_1_classes_25_11,25 11
62_F9_2_classes_25_12,25 12
112_G5_1_classes_23_0,0 23
776_D7_1_classes_21,21
635_F11_1_classes_7,7
168_G5_1_classes_25_3_0,0 25 3
148_B3_1_classes_7,7
1358_C11_1_classes_23,23
1674_F5_34_classes_2,2
164_D6_1_classes_25_2,25 2
411_E2_1_classes_21,21
8_D10_2_classes_25_2_0,0 25 2
1001_F7_1_classes_7,7
1529_H3_1_classes_23_0,0 23
532_A6_3_classes_12,12
1742_C2_13_cr58048fbf3cbb5_classes_12,12
1009_E4_6_classes_7,7
1273_D5_4_classes_25_1_0,0 25 1
1479_E6_6_classes_25_2_0,0 25 2
1469_A9_2_classes_22,22
1386_G5_1_classes_22,22
20_B3_2_classes_25_21,25 21
638_C8_8_classes_21_7,21 7
217_D11_2_classes_21,21
1354_E5_4_classes_4,4
77_H2_1_classes_25_21_7,25 21 7
1642_C5_1_cr581094677e216_classes_21_13,13 21
371_G5_1_classes_25_21,25 21
133_D8_2_classes_2_0,0 2
416_D2_2_classes_5_0,0 5
1_C2_2_classes_4,4
1706_C4_3_cr57e26cb3128e1_classes_1,1
1159_E6_5_classes_23,23
1516_D2_1_classes_26_4,26 4
94_B3_2_classes_4_2,2 4
47_F4_2_classes_7,7
1055_G3_2_classes_25_23,25 23
1468_B2_1_classes_2,2
369_H9_3_classes_25_1_0,0 25 1
1404_G2_2_classes_25_2_0,0 25 2
637_H7_5_classes_25_21_2_0,0 25 2 21
424_B4_2_classes_21_0,0 21
213_H1_1_classes_25_2,25 2
1029_D3_5_classes_23_0,0 23
178_A9_1_classes_21,21
259_E2_1_classes_1_0,0 1
1370_G9_1_classes_21_7_0,0 21 7
490_E12_1_classes_6_1,1 6
1281_F6_1_classes_3,3
413_H5_1_classes_25_13_2_0,0 25 2 13
31_G10_2_classes_23,23
145_F7_1_classes_6,6
139_G12_2_classes_2,2
326_D6_1_classes_23,23
57_F11_1_classes_25_21,25 21
24_D1_1_classes_25_18,25 18
1010_E1_1_classes_4,4
920_B2_3_classes_18,18
140_B8_2_classes_7,7
27_D3_1_classes_7,7
786_A11_9_classes_10_9,9 10
984_H8_2_classes_23,23
91_B7_2_classes_7,7
443_A11_1_classes_2,2
18_F9_2_classes_19_11,11 19
488_C12_1_classes_3,3
230_B6_1_classes_25_7,25 7
751_G3_4_classes_4,4
150_B7_2_classes_23,23
221_D1_2_classes_4,4
1319_B10_2_classes_23,23
1659_D4_4_classes_21,21
1445_A10_5_classes_25_23_0,0 25 23
115_G10_1_classes_25_21_0,0 25 21
867_E12_3_classes_21_0,0 21
1501_F9_3_classes_23,23
550_E5_2_classes_23,23
242_F6_1_classes_23,23
136_B12_1_classes_6,6
230_G6_1_classes_4,4
516_B4_2_classes_7,7
860_D10_2_classes_4,4
416_E7_1_classes_25_7,25 7
1747_H5_14_cr58065a33e0124_classes_2,2
89_A10_1_classes_6,6
1039_F11_1_classes_5_0,0 5
847_H9_3_classes_25_16_14,16 25 14
75_D2_2_classes_25_21_0,0 25 21
965_H10_2_classes_14,14
473_F8_4_classes_25_21,25 21
1293_E11_1_classes_7,7
486_F12_2_classes_25_11,25 11
279_G7_1_classes_18,18
747_H6_4_classes_11_1,1 11
264_B4_1_classes_23,23
230_D10_2_classes_6_0,0 6
981_B6_1_classes_25_7_0,0 25 7
1356_G2_2_classes_22_0,0 22
172_F5_2_classes_7,7
21_C1_2_classes_1,1
1692_E3_28_cr57d15cf689b12_classes_21,21
14_G12_2_classes_7,7
150_B6_1_classes_25_7_0,0 25 7
1403_A5_1_classes_21,21
909_B1_10_classes_14_2_0,0 2 14
579_D7_1_classes_23,23
757_A9_2_classes_21,21
19_G2_1_classes_19_0,0 19
757_C8_1_classes_2_0,0 2
168_D11_2_classes_7,7
776_A6_2_classes_25_4,25 4
1080_B6_3_classes_22,22
584_B9_1_classes_2,2
574_D11_3_classes_21_14,21 14
945_G12_2_classes_6,6
193_H4_2_classes_25_7,25 7
1245_H9_1_classes_4,4
555_C3_2_classes_2,2
434_H4_2_classes_4,4
373_D3_2_classes_1,1
189_B6_2_classes_23,23
1207_G2_2_classes_2_0,0 2
461_B6_2_classes_25_7,25 7
155_B7_2_classes_25_19_0,0 25 19
178_C10_1_classes_25_18_4,25 18 4
165_D12_2_classes_7_0,0 7
45_A11_1_classes_25_7,25 7
373_A3_2_classes_2_0,0 2
1407_F12_3_classes_5_0,0 5
8_E6_1_classes_23_0,0 23
1445_E2_5_classes_23_4,4 23
1752_E2_13_cr5804cc9a9f04e_classes_7_0,0 7
1178_E11_1_classes_7,7
1210_F7_2_classes_25_2,25 2
620_C6_4_classes_7,7
442_D9_1_classes_4,4
1347_D11_1_classes_7_4,4 7
1750_H2_13_cr580c9334cbe0a_classes_21,21
984_H8_1_classes_23,23
845_B9_1_classes_25_21_0,0 25 21
222_E10_4_classes_21_1,1 21
1786_B2_2_classes_7,7
173_D5_2_classes_23,23
456_E4_2_classes_25_1_0,0 25 1
823_E11_1_classes_25_7_0,0 25 7
782_A5_1_classes_5,5
1055_G3_3_classes_25_23,25 23
565_A2_1_classes_23,23
334_F9_1_classes_25_21,25 21
48_B9_1_classes_23,23
1038_E5_2_classes_7_0,0 7
298_C3_2_classes_3_1,1 3
408_E11_1_classes_25_19,25 19
1020_C7_1_classes_21_0,0 21
1016_B9_3_classes_13,13
168_B12_2_classes_23,23
1781_E7_31_classes_21_4,4 21
1061_B11_1_classes_23_0,0 23
1632_H2_33_classes_13,13
33_H6_1_classes_13_12_0,0 12 13
636_H11_6_classes_7,7
111_F6_1_classes_21_0,0 21
1057_C8_2_classes_21,21
41_F10_1_classes_11,11
416_D2_1_classes_5_0,0 5
776_C6_1_classes_4,4
462_H6_1_classes_14,14
1774_F4_3_cr595102eb878c3_classes_7,7
1593_C6_2_classes_25_21,25 21
1020_H4_2_classes_4,4
1126_A11_1_classes_21_0,0 21
1153_H6_6_classes_23,23
1255_D5_2_classes_7_0,0 7
1608_B6_1_classes_5_0,0 5
571_C6_2_classes_6,6
1401_E8_1_classes_19,19
873_C11_5_classes_21_0,0 21
1411_D3_2_classes_7,7
1527_A7_6_classes_2_0,0 2
1103_E5_1_classes_23_0,0 23
1345_D6_1_classes_7,7
1037_B7_3_classes_22,22
907_G2_2_classes_18,18
1162_G6_1_classes_5_0,0 5
480_A12_1_classes_12,12
405_C8_1_classes_25_21,25 21
1661_H7_7_classes_12,12
59_G9_1_classes_5,5
185_B3_2_classes_14_3_0,0 3 14
924_A12_1_classes_25_4,25 4
639_F11_5_classes_7_0,0 7
1541_G4_6_classes_7,7
378_C12_2_classes_25_19,25 19
1080_C12_2_classes_23,23
416_B11_4_classes_13_0,0 13
1424_C12_1_classes_14,14
751_D3_3_classes_23,23
1645_E1_31_classes_16_14,16 14
1616_D10_1_classes_26_0,0 26
41_A9_2_classes_25_5_0,0 25 5
121_A12_1_classes_8,8
440_H10_3_classes_3_0,0 3
392_F2_2_classes_16_0,16 0
187_F11_2_classes_4,4
369_B10_1_classes_25_21_19,25 19 21
504_A7_2_classes_21_2_0,0 2 21
1346_F6_1_classes_22_21_0,0 21 22
1519_C12_5_classes_6,6
452_E11_2_classes_22,22
870_A11_3_classes_8_0,8 0
619_B3_3_classes_23,23
280_C12_1_classes_2,2
864_E8_1_classes_25_2,25 2
1127_G11_1_classes_23,23
1184_H11_4_classes_25_21_0,0 25 21
611_B8_2_classes_25_2_0,0 25 2
537_D10_1_classes_21,21
555_A5_1_classes_22,22
1386_E7_1_classes_23_0,0 23
570_B9_2_classes_7_2,2 7
1037_E2_3_classes_25_21,25 21
795_G10_2_classes_25_2,25 2
222_E7_2_classes_23_0,0 23
412_F7_2_classes_23,23
1304_C12_3_classes_21,21
1612_G5_1_classes_21,21
219_A2_1_classes_25_1,25 1
1772_F3_1_classes_19_12,19 12
980_F1_2_classes_5_0,0 5
440_G9_2_classes_7_0,0 7
1014_D4_2_classes_2,2
914_A12_1_classes_7,7
1307_G4_1_classes_2,2
27_A10_2_classes_25_12_7_5,25 12 5 7
34_C3_2_classes_11,11
1640_D3_2_classes_5_0,0 5
470_F11_2_classes_25_21,25 21
97_B2_2_classes_25_19_0,0 25 19
198_E3_1_classes_25_2_0,0 25 2
1227_H10_2_classes_1,1
1165_B5_2_classes_23_0,0 23
221_F10_1_classes_14,14
1593_D2_1_classes_7,7
1231_F7_1_classes_14,14
604_G5_1_classes_23,23
1437_H10_1_classes_23,23
942_B12_2_classes_5_0,0 5
568_F1_2_classes_2_0,0 2
172_F10_2_classes_21_7,21 7
431_E6_3_classes_23_0,0 23
983_E10_2_classes_22_0,0 22
1770_C7_2_classes_21,21
334_H5_3_classes_25_7_0,0 25 7
255_B8_2_classes_21,21
165_E12_2_classes_7_0,0 7
885_H2_2_classes_23_0,0 23
395_H6_4_classes_21_0,0 21
197_B6_1_classes_14_0,0 14
1406_A11_2_classes_2,2
435_H9_6_classes_25_21,25 21
192_C11_1_classes_25_7_0,0 25 7
1524_F12_3_classes_21_7_0,0 21 7
1200_G7_4_classes_23,23
757_E10_7_classes_12,12
490_D7_2_classes_1,1
1199_F10_6_classes_25_13_0,0 25 13
381_E12_5_classes_23_14,14 23
41_B2_2_classes_25_6,25 6
814_B10_1_classes_27_19_4,19 27 4
1423_A10_4_classes_7,7
808_D9_2_classes_25_22_18,25 18 22
1692_A6_3_cr57d2a665ca86d_classes_3_0,0 3
417_G11_2_classes_2_1,1 2
1742_C9_33_classes_21,21
1617_B6_2_classes_21,21
505_F8_2_classes_1_0,0 1
1743_E7_3_cr587f52eed0c75_classes_25_12,25 12
632_D4_2_classes_25_21,25 21
1171_F6_4_classes_4,4
1134_D8_2_classes_2,2
771_A1_4_classes_25_12,25 12
570_A2_2_classes_23,23
1331_B3_2_classes_21_2_0,0 2 21
1652_D9_3_classes_6,6
220_H2_1_classes_2_0,0 2
1192_A10_3_classes_2_0,0 2
1318_C2_3_classes_2,2
429_E5_1_classes_25_2,25 2
96_C11_1_classes_12,12
918_B10_4_classes_23,23
1241_E10_4_classes_2_0,0 2
896_D12_2_classes_23,23
197_G2_2_classes_25_21,25 21
1183_H4_3_classes_25_7,25 7
258_B8_1_classes_5_0,0 5
232_A3_2_classes_23,23
509_H9_1_classes_23,23
1123_D2_1_classes_25_4,25 4
1082_E1_1_classes_2_0,0 2
46_B1_2_classes_25_21_7,25 21 7
178_B8_1_classes_25_21,25 21
490_F3_2_classes_7,7
1049_C8_2_classes_21_0,0 21
