Gene	Gene name	Reliability	Enhanced	Supported	Approved	Uncertain	Single-cell variation intensity	Single-cell variation spatial	Cell cycle dependency	GO id
ENSG00000000003	TSPAN6	Approved			Cytosol					Cytosol (GO:0005829)
ENSG00000000457	SCYL3	Uncertain				Microtubules;Nuclear bodies				Microtubules (GO:0015630);Nuclear bodies (GO:0016604)
ENSG00000000460	C1orf112	Approved			Mitochondria					Mitochondria (GO:0005739)
ENSG00000000938	FGR	Approved			Aggresome;Plasma membrane					Aggresome (GO:0016235);Plasma membrane (GO:0005886)
ENSG00000000971	CFH	Approved			Vesicles					Vesicles (GO:0043231)
ENSG00000001084	GCLC	Approved			Cytosol;Nucleoli;Nucleus					Cytosol (GO:0005829);Nucleoli (GO:0005730);Nucleus (GO:0005634)
ENSG00000001167	NFYA	Enhanced	Nucleoplasm							Nucleoplasm (GO:0005654)
ENSG00000001460	STPG1	Approved			Nucleoplasm					Nucleoplasm (GO:0005654)
ENSG00000001461	NIPAL3	Approved			Nucleoplasm					Nucleoplasm (GO:0005654)
ENSG00000001497	LAS1L	Approved		Nucleoplasm	Cytosol;Microtubule organizing center					Cytosol (GO:0005829);Microtubule organizing center (GO:0005815);Nucleoplasm (GO:0005654)
ENSG00000001629	ANKIB1	Supported		Cytosol;Plasma membrane						Cytosol (GO:0005829);Plasma membrane (GO:0005886)
ENSG00000001630	CYP51A1	Enhanced	Endoplasmic reticulum							Endoplasmic reticulum (GO:0005783)
ENSG00000001631	KRIT1	Uncertain				Vesicles				Vesicles (GO:0043231)
ENSG00000002016	RAD52	Approved			Nuclear speckles;Plasma membrane					Nuclear speckles (GO:0016607);Plasma membrane (GO:0005886)
ENSG00000002330	BAD	Enhanced	Mitochondria							Mitochondria (GO:0005739)
ENSG00000002549	LAP3	Supported		Cytosol	Midbody;Nucleoplasm				Midbody (biological definition)	Cytosol (GO:0005829);Midbody (GO:0030496);Nucleoplasm (GO:0005654)
ENSG00000002586	CD99	Approved			Golgi apparatus					Golgi apparatus (GO:0005794)
ENSG00000002587	HS3ST1	Approved			Vesicles					Vesicles (GO:0043231)
ENSG00000002746	HECW1	Supported		Cytosol						Cytosol (GO:0005829)
ENSG00000002822	MAD1L1	Supported		Nuclear membrane;Nucleoplasm						Nuclear membrane (GO:0031965);Nucleoplasm (GO:0005654)
ENSG00000002834	LASP1	Supported		Cytosol;Plasma membrane	Focal adhesion sites					Cytosol (GO:0005829);Focal adhesion sites (GO:0005925);Plasma membrane (GO:0005886)
ENSG00000002919	SNX11	Approved			Cytosol					Cytosol (GO:0005829)
ENSG00000002933	TMEM176A	Approved			Mitochondria					Mitochondria (GO:0005739)
ENSG00000003096	KLHL13	Approved			Cytosol					Cytosol (GO:0005829)
ENSG00000003137	CYP26B1	Approved			Cytosol		Cytosol			Cytosol (GO:0005829)
ENSG00000003147	ICA1	Supported		Cytosol;Vesicles			Vesicles			Cytosol (GO:0005829);Vesicles (GO:0043231)
ENSG00000003249	DBNDD1	Approved			Cytosol;Nuclear speckles		Nuclear speckles			Cytosol (GO:0005829);Nuclear speckles (GO:0016607)
ENSG00000003393	ALS2	Approved			Cytosol;Intermediate filaments					Cytosol (GO:0005829);Intermediate filaments (GO:0045111)
ENSG00000003400	CASP10	Approved			Golgi apparatus;Vesicles					Golgi apparatus (GO:0005794);Vesicles (GO:0043231)
