Id,Target
ENSG00000000003_4109_24_H11_1,25
ENSG00000000003_4109_24_H11_2,25
ENSG00000000003_4109_23_H11_1,25
ENSG00000000003_4109_23_H11_2,25
ENSG00000000003_4109_25_H11_1,25
ENSG00000000003_4109_25_H11_2,25
ENSG00000000457_5624_69_H11_1,14 5
ENSG00000000457_5624_69_H11_2,14 5
ENSG00000000457_5624_91_H11_1,14 5
ENSG00000000457_5624_91_H11_2,14 5
ENSG00000000457_5624_68_H11_1,14 5
ENSG00000000457_5624_68_H11_2,14 5
ENSG00000000460_24451_261_G2_1,23
ENSG00000000460_24451_261_G2_2,23
ENSG00000000460_24451_226_G2_1,23
ENSG00000000460_24451_226_G2_2,23
ENSG00000000460_24451_224_G2_1,23
ENSG00000000460_24451_224_G2_2,23
ENSG00000000938_2024_60_H5_1,24 21
ENSG00000000938_2024_60_H5_2,24 21
ENSG00000000938_2024_1422_H6_1,24 21
ENSG00000000938_2024_1422_H6_2,24 21
ENSG00000000938_2024_59_H5_1,24 21
ENSG00000000938_2024_59_H5_2,24 21
ENSG00000001084_9569_921_H5_1,25 2
ENSG00000001084_9569_921_H5_2,25 2
ENSG00000001084_9569_931_H5_3,25 2
ENSG00000001084_9569_931_H5_4,25 2
ENSG00000001084_9569_923_H5_1,25 2
ENSG00000001084_9569_923_H5_3,25 2
ENSG00000001084_36360_441_C2_1,25 2
ENSG00000001084_36360_441_C2_2,25 2
ENSG00000001084_36360_432_C2_1,25 2
ENSG00000001084_36360_432_C2_2,25 2
ENSG00000001084_36360_430_C2_5,25 2
ENSG00000001084_36360_430_C2_6,25 2
ENSG00000001167_50779_844_D10_1,0
ENSG00000001167_50779_844_D10_2,0
ENSG00000001167_50779_1422_A9_1,0
ENSG00000001167_50779_1422_A9_2,0
ENSG00000001167_50779_835_D10_1,0
ENSG00000001167_50779_835_D10_2,0
ENSG00000001167_50779_686_A3_2,0
ENSG00000001167_50779_686_A3_3,0
ENSG00000001460_24301_261_A6_1,0
ENSG00000001460_24301_261_A6_2,0
ENSG00000001460_24301_226_A6_1,0
ENSG00000001460_24301_226_A6_2,0
ENSG00000001460_24301_224_A6_1,0
ENSG00000001460_24301_224_A6_2,0
ENSG00000001461_39978_415_D8_1,0
ENSG00000001461_39978_415_D8_2,0
ENSG00000001461_39978_411_D8_1,0
ENSG00000001461_39978_411_D8_2,0
ENSG00000001461_39978_416_D8_1,0
ENSG00000001461_39978_416_D8_2,0
ENSG00000001497_44431_556_B9_1,25 18 0
ENSG00000001497_44431_556_B9_3,25 18 0
ENSG00000001497_44431_516_B9_1,25 18 0
ENSG00000001497_44431_516_B9_2,25 18 0
ENSG00000001497_44431_519_B9_1,25 18 0
ENSG00000001497_44431_519_B9_2,25 18 0
ENSG00000001629_19358_154_A10_1,25 21
ENSG00000001629_19358_154_A10_2,25 21
ENSG00000001629_19358_152_A10_1,25 21
ENSG00000001629_19358_152_A10_2,25 21
ENSG00000001629_21780_187_A5_1,25 21
ENSG00000001629_21780_187_A5_2,25 21
ENSG00000001629_21780_188_A5_1,25 21
ENSG00000001629_21780_188_A5_2,25 21
ENSG00000001629_21780_246_A5_1,25 21
ENSG00000001629_21780_246_A5_2,25 21
ENSG00000001630_41325_488_F2_2,6
ENSG00000001630_41325_488_F2_3,6
ENSG00000001630_41325_494_F2_1,6
ENSG00000001630_41325_494_F2_2,6
ENSG00000001630_41325_485_F2_1,6
ENSG00000001630_41325_485_F2_2,6
ENSG00000001630_41325_si23_C4_1,6
ENSG00000001630_41325_si23_C4_4,6
ENSG00000001630_41325_si23_C6_1,6
ENSG00000001630_41325_si23_C6_4,6
ENSG00000001630_43508_733_A3_2,6
ENSG00000001630_43508_733_A3_3,6
ENSG00000001630_43508_721_A3_1,6
ENSG00000001630_43508_721_A3_2,6
ENSG00000001630_43508_727_A3_2,6
ENSG00000001630_43508_727_A3_5,6
ENSG00000001630_43508_698_D7_4,6
ENSG00000001630_43508_698_D7_5,6
ENSG00000002016_28957_1566_G9_1,4 21
ENSG00000002016_28957_1566_G9_3,4 21
ENSG00000002016_28957_1553_H5_4,4 21
ENSG00000002016_28957_1553_H5_6,4 21
ENSG00000002016_28957_1568_G9_1,4 21
ENSG00000002016_28957_1568_G9_3,4 21
ENSG00000002330_4205_674_G12_2,23
ENSG00000002330_4205_674_G12_7,23
ENSG00000002330_4205_668_G12_3,23
ENSG00000002330_4205_668_G12_4,23
ENSG00000002330_4205_665_G12_1,23
ENSG00000002330_4205_665_G12_2,23
ENSG00000002330_28185_256_G6_1,23
ENSG00000002330_28185_256_G6_2,23
ENSG00000002330_28185_257_G6_1,23
ENSG00000002330_28185_257_G6_2,23
ENSG00000002330_28185_255_G6_1,23
ENSG00000002330_28185_255_G6_2,23
ENSG00000002549_29606_299_D2_1,25 0
ENSG00000002549_29606_299_D2_2,25 0
ENSG00000002549_29606_300_D2_3,25 0
ENSG00000002549_29606_300_D2_4,25 0
ENSG00000002549_29606_298_D2_2,25 0
