Id,Target
aug01_1_0_000a6c98-bb9b-11e8-b2b9-ac1f6b6435d0,7 1 2 0
aug01_1_0_000c99ba-bba4-11e8-b2b9-ac1f6b6435d0,1
aug01_1_0_00456fd2-bb9b-11e8-b2b9-ac1f6b6435d0,7 1 2 0
aug01_1_0_0067a7c0-bbb7-11e8-b2ba-ac1f6b6435d0,1 0
aug01_1_0_008b8e7c-bbb4-11e8-b2ba-ac1f6b6435d0,1 0
aug01_1_0_00d4f904-bbb4-11e8-b2ba-ac1f6b6435d0,1 4 2 0
aug01_1_0_00dd1766-bbae-11e8-b2ba-ac1f6b6435d0,25 1 2 21
aug01_1_0_011def6e-bbb5-11e8-b2ba-ac1f6b6435d0,1 0
aug01_1_0_0142f5bc-bbc8-11e8-b2bc-ac1f6b6435d0,1 0
aug01_1_0_016b3df6-bba5-11e8-b2ba-ac1f6b6435d0,25 1 21
aug01_1_0_01b500a4-bb9a-11e8-b2b9-ac1f6b6435d0,1 4 2 0
aug01_1_0_01d2d5c4-bbb9-11e8-b2ba-ac1f6b6435d0,1 0
aug01_1_0_01f3e0da-bb9f-11e8-b2b9-ac1f6b6435d0,1
aug01_1_0_02056070-bba5-11e8-b2ba-ac1f6b6435d0,7 1 4
aug01_1_0_02199b60-bbc0-11e8-b2bb-ac1f6b6435d0,1 2
aug01_1_0_023bd202-bbb6-11e8-b2ba-ac1f6b6435d0,7 1 0
aug01_1_0_02e27b14-bba9-11e8-b2ba-ac1f6b6435d0,1
aug01_1_0_02fefb04-bbc7-11e8-b2bc-ac1f6b6435d0,1 4
aug01_1_0_0312336a-bba7-11e8-b2ba-ac1f6b6435d0,1 4
aug01_1_0_0325d998-bb9c-11e8-b2b9-ac1f6b6435d0,1 2 0
aug01_1_0_032f0da4-bbc6-11e8-b2bc-ac1f6b6435d0,25 1 0
aug01_1_0_037f4612-bbca-11e8-b2bc-ac1f6b6435d0,1 4
aug01_1_0_0391ab0a-bbb5-11e8-b2ba-ac1f6b6435d0,6 1
aug01_1_0_03ef3634-bbb1-11e8-b2ba-ac1f6b6435d0,25 1 0
aug01_1_0_04267eee-bbbd-11e8-b2ba-ac1f6b6435d0,25 1
aug01_1_0_04aa916a-bbc8-11e8-b2bc-ac1f6b6435d0,1 2
aug01_1_0_04bd2790-bbae-11e8-b2ba-ac1f6b6435d0,25 1 0
aug01_1_0_059bc0b0-bbac-11e8-b2ba-ac1f6b6435d0,1 0
aug01_1_0_05ecf0b6-bbca-11e8-b2bc-ac1f6b6435d0,1 0
aug01_1_0_0634a360-bbbc-11e8-b2ba-ac1f6b6435d0,1 2 0
aug01_1_0_064ee914-bba8-11e8-b2ba-ac1f6b6435d0,1 0
aug01_1_0_0651f94a-bbb4-11e8-b2ba-ac1f6b6435d0,1
aug01_1_0_06797a62-bba3-11e8-b2b9-ac1f6b6435d0,19 1
aug01_1_0_069310d0-bbb7-11e8-b2ba-ac1f6b6435d0,1
aug01_1_0_06ab60a2-bba5-11e8-b2ba-ac1f6b6435d0,25 1
aug01_1_0_06e2e92c-bbc4-11e8-b2bc-ac1f6b6435d0,1 2 0
aug01_1_0_06ed4f5a-bbc1-11e8-b2bb-ac1f6b6435d0,25 1
aug01_1_0_06eff580-bbb6-11e8-b2ba-ac1f6b6435d0,1
aug01_1_0_071f959a-bb9a-11e8-b2b9-ac1f6b6435d0,1 0
aug01_1_0_0729be06-bbb5-11e8-b2ba-ac1f6b6435d0,11 1 0
aug01_1_0_073e1034-bbbc-11e8-b2ba-ac1f6b6435d0,1 0
aug01_1_0_0770dca8-bba8-11e8-b2ba-ac1f6b6435d0,1
aug01_1_0_081546f6-bbb9-11e8-b2ba-ac1f6b6435d0,7 1 0
aug01_1_0_0827bad6-bba8-11e8-b2ba-ac1f6b6435d0,1 0
aug01_1_0_084a9c70-bbc3-11e8-b2bc-ac1f6b6435d0,25 1 21
aug01_1_0_0881d08c-bb9b-11e8-b2b9-ac1f6b6435d0,1
aug01_1_0_08884b0e-bb9d-11e8-b2b9-ac1f6b6435d0,19 1 2
