Id,Predicted
00008af0-bad0-11e8-b2b8-ac1f6b6435d0,2
0000a892-bacf-11e8-b2b8-ac1f6b6435d0,5 25
0006faa6-bac7-11e8-b2b7-ac1f6b6435d0,0 5 21 25
0008baca-bad7-11e8-b2b9-ac1f6b6435d0,0 25
000cce7e-bad4-11e8-b2b8-ac1f6b6435d0,0 25
00109f6a-bac8-11e8-b2b7-ac1f6b6435d0,4 25
001765de-bacd-11e8-b2b8-ac1f6b6435d0,4 25
0018641a-bac9-11e8-b2b8-ac1f6b6435d0,0 25
00200f22-bad7-11e8-b2b9-ac1f6b6435d0,0
0026f154-bac6-11e8-b2b7-ac1f6b6435d0,25
002729d2-bace-11e8-b2b8-ac1f6b6435d0,0 18 25
002c1a7c-bad4-11e8-b2b8-ac1f6b6435d0,3 5
003170fa-bacd-11e8-b2b8-ac1f6b6435d0,0 2 25
0031820a-baca-11e8-b2b8-ac1f6b6435d0,7 25
00407c16-bad3-11e8-b2b8-ac1f6b6435d0,0 25
005ce2ea-bacc-11e8-b2b8-ac1f6b6435d0,17 18 25
00631ec8-bad9-11e8-b2b9-ac1f6b6435d0,2 14
00673f64-bad2-11e8-b2b8-ac1f6b6435d0,0 5
0070171c-bad0-11e8-b2b8-ac1f6b6435d0,14
007290b6-bad8-11e8-b2b9-ac1f6b6435d0,0 5
0075ee26-bacb-11e8-b2b8-ac1f6b6435d0,6 25
00763d66-bacd-11e8-b2b8-ac1f6b6435d0,0 25
007eca68-bac7-11e8-b2b7-ac1f6b6435d0,0 25
008ab0b8-bad5-11e8-b2b8-ac1f6b6435d0,0
008e8c3e-bad4-11e8-b2b8-ac1f6b6435d0,0 4 25
009131e6-baca-11e8-b2b8-ac1f6b6435d0,0 21 25
0094159e-bad1-11e8-b2b8-ac1f6b6435d0,0
0097a5c2-bac9-11e8-b2b8-ac1f6b6435d0,0 5
009d32e4-bad3-11e8-b2b8-ac1f6b6435d0,0 25
00a4925a-bad8-11e8-b2b9-ac1f6b6435d0,0 5
00a79920-bad1-11e8-b2b8-ac1f6b6435d0,13 21
00ad3e84-bad1-11e8-b2b8-ac1f6b6435d0,0 19
00ae837a-bac7-11e8-b2b7-ac1f6b6435d0,16 17 18
00aee508-bad2-11e8-b2b8-ac1f6b6435d0,0 5 25
00b86f34-bacc-11e8-b2b8-ac1f6b6435d0,0 7 25
00ba25e2-bacf-11e8-b2b8-ac1f6b6435d0,13
00bb4f2a-bada-11e8-b2b9-ac1f6b6435d0,25
00bb558e-bacf-11e8-b2b8-ac1f6b6435d0,0 3
00bb8fa8-bada-11e8-b2b9-ac1f6b6435d0,0 21
00c19c92-bac9-11e8-b2b8-ac1f6b6435d0,1
00cfafb0-bacb-11e8-b2b8-ac1f6b6435d0,0 25
00d2a4f8-bad6-11e8-b2b9-ac1f6b6435d0,23 25
00db3cb8-bac6-11e8-b2b7-ac1f6b6435d0,0 25
00dc78c8-bad3-11e8-b2b8-ac1f6b6435d0,19 25
00de1ab2-bad2-11e8-b2b8-ac1f6b6435d0,25
00deeaca-bada-11e8-b2b9-ac1f6b6435d0,6
00df3d44-bac7-11e8-b2b7-ac1f6b6435d0,0
00e00578-baca-11e8-b2b8-ac1f6b6435d0,0 25
00e00666-badb-11e8-b2b9-ac1f6b6435d0,23 25
00e5f530-badb-11e8-b2b9-ac1f6b6435d0,0
00f5798a-baca-11e8-b2b8-ac1f6b6435d0,25
010232b0-bad9-11e8-b2b9-ac1f6b6435d0,0 5
0106ac3e-bac8-11e8-b2b7-ac1f6b6435d0,20
01170db6-bad4-11e8-b2b8-ac1f6b6435d0,0 25
01182374-bac8-11e8-b2b7-ac1f6b6435d0,3
011d0d88-bacf-11e8-b2b8-ac1f6b6435d0,0 25
013868ca-bad0-11e8-b2b8-ac1f6b6435d0,0 25
013bb580-baca-11e8-b2b8-ac1f6b6435d0,23
0142b822-bace-11e8-b2b8-ac1f6b6435d0,0 17 25
014c1cac-bacc-11e8-b2b8-ac1f6b6435d0,25
014db382-bacc-11e8-b2b8-ac1f6b6435d0,2 20
