Id,Predicted
00008af0-bad0-11e8-b2b8-ac1f6b6435d0,19
0000a892-bacf-11e8-b2b8-ac1f6b6435d0,19
0006faa6-bac7-11e8-b2b7-ac1f6b6435d0,5 19
0008baca-bad7-11e8-b2b9-ac1f6b6435d0,5 7 13 19
000cce7e-bad4-11e8-b2b8-ac1f6b6435d0,19 23
00109f6a-bac8-11e8-b2b7-ac1f6b6435d0,7 19
001765de-bacd-11e8-b2b8-ac1f6b6435d0,19
0018641a-bac9-11e8-b2b8-ac1f6b6435d0,19 23
00200f22-bad7-11e8-b2b9-ac1f6b6435d0,19
0026f154-bac6-11e8-b2b7-ac1f6b6435d0,19
002729d2-bace-11e8-b2b8-ac1f6b6435d0,3 19
002c1a7c-bad4-11e8-b2b8-ac1f6b6435d0,19
003170fa-bacd-11e8-b2b8-ac1f6b6435d0,1 5 19
0031820a-baca-11e8-b2b8-ac1f6b6435d0,19
00407c16-bad3-11e8-b2b8-ac1f6b6435d0,2 11 19
005ce2ea-bacc-11e8-b2b8-ac1f6b6435d0,19
00631ec8-bad9-11e8-b2b9-ac1f6b6435d0,2 4 19
00673f64-bad2-11e8-b2b8-ac1f6b6435d0,19
0070171c-bad0-11e8-b2b8-ac1f6b6435d0,19
007290b6-bad8-11e8-b2b9-ac1f6b6435d0,19
0075ee26-bacb-11e8-b2b8-ac1f6b6435d0,19
00763d66-bacd-11e8-b2b8-ac1f6b6435d0,19
007eca68-bac7-11e8-b2b7-ac1f6b6435d0,5 19
008ab0b8-bad5-11e8-b2b8-ac1f6b6435d0,19
008e8c3e-bad4-11e8-b2b8-ac1f6b6435d0,19
009131e6-baca-11e8-b2b8-ac1f6b6435d0,19 26
0094159e-bad1-11e8-b2b8-ac1f6b6435d0,4 19
0097a5c2-bac9-11e8-b2b8-ac1f6b6435d0,2 19
009d32e4-bad3-11e8-b2b8-ac1f6b6435d0,7 19
00a4925a-bad8-11e8-b2b9-ac1f6b6435d0,19
00a79920-bad1-11e8-b2b8-ac1f6b6435d0,19
00ad3e84-bad1-11e8-b2b8-ac1f6b6435d0,19
00ae837a-bac7-11e8-b2b7-ac1f6b6435d0,19 22
00aee508-bad2-11e8-b2b8-ac1f6b6435d0,19
00b86f34-bacc-11e8-b2b8-ac1f6b6435d0,19
00ba25e2-bacf-11e8-b2b8-ac1f6b6435d0,19
00bb4f2a-bada-11e8-b2b9-ac1f6b6435d0,19 23
00bb558e-bacf-11e8-b2b8-ac1f6b6435d0,19
00bb8fa8-bada-11e8-b2b9-ac1f6b6435d0,19
00c19c92-bac9-11e8-b2b8-ac1f6b6435d0,19
00cfafb0-bacb-11e8-b2b8-ac1f6b6435d0,19
00d2a4f8-bad6-11e8-b2b9-ac1f6b6435d0,19
00db3cb8-bac6-11e8-b2b7-ac1f6b6435d0,4 7 19
