Id,cluster4
00070df0-bbc3-11e8-b2bc-ac1f6b6435d0,0
000a6c98-bb9b-11e8-b2b9-ac1f6b6435d0,1
000a9596-bbc4-11e8-b2bc-ac1f6b6435d0,1
000c99ba-bba4-11e8-b2b9-ac1f6b6435d0,0
001838f8-bbca-11e8-b2bc-ac1f6b6435d0,3
001bcdd2-bbb2-11e8-b2ba-ac1f6b6435d0,0
0020af02-bbba-11e8-b2ba-ac1f6b6435d0,2
002679c2-bbb6-11e8-b2ba-ac1f6b6435d0,3
00285ce4-bba0-11e8-b2b9-ac1f6b6435d0,3
002daad6-bbc9-11e8-b2bc-ac1f6b6435d0,3
002ff91e-bbb8-11e8-b2ba-ac1f6b6435d0,1
00301238-bbb2-11e8-b2ba-ac1f6b6435d0,3
0032a07e-bba9-11e8-b2ba-ac1f6b6435d0,2
00344514-bbc2-11e8-b2bb-ac1f6b6435d0,3
00357b1e-bba9-11e8-b2ba-ac1f6b6435d0,2
00383b44-bbbb-11e8-b2ba-ac1f6b6435d0,1
0038d6a6-bb9a-11e8-b2b9-ac1f6b6435d0,0
003957a8-bbb7-11e8-b2ba-ac1f6b6435d0,0
003feb6e-bbca-11e8-b2bc-ac1f6b6435d0,3
0042017c-bba4-11e8-b2b9-ac1f6b6435d0,3
00456fd2-bb9b-11e8-b2b9-ac1f6b6435d0,1
0047c984-bba6-11e8-b2ba-ac1f6b6435d0,3
00481c70-bba3-11e8-b2b9-ac1f6b6435d0,1
004a2b84-bbc4-11e8-b2bc-ac1f6b6435d0,0
004b47de-bbca-11e8-b2bc-ac1f6b6435d0,2
004bf4c6-bbc6-11e8-b2bc-ac1f6b6435d0,1
004d8a0e-bbc4-11e8-b2bc-ac1f6b6435d0,0
004efaa2-bba5-11e8-b2ba-ac1f6b6435d0,2
004f7c66-bb9b-11e8-b2b9-ac1f6b6435d0,2
004f8abc-bbb9-11e8-b2ba-ac1f6b6435d0,3
00508c34-bbb7-11e8-b2ba-ac1f6b6435d0,2
0051ccbc-bbbb-11e8-b2ba-ac1f6b6435d0,0
00520f22-bb9a-11e8-b2b9-ac1f6b6435d0,3
0058c62c-bbbe-11e8-b2ba-ac1f6b6435d0,2
005a103a-bbc4-11e8-b2bc-ac1f6b6435d0,2
005a78ec-bbae-11e8-b2ba-ac1f6b6435d0,2
005ccb94-bbca-11e8-b2bc-ac1f6b6435d0,2
0060269e-bbbc-11e8-b2ba-ac1f6b6435d0,1
00626a32-bbab-11e8-b2ba-ac1f6b6435d0,1
0062719a-bbbe-11e8-b2ba-ac1f6b6435d0,0
00638dd0-bbac-11e8-b2ba-ac1f6b6435d0,1
0065e36c-bba4-11e8-b2b9-ac1f6b6435d0,3
0067a7c0-bbb7-11e8-b2ba-ac1f6b6435d0,3
0067c712-bba0-11e8-b2b9-ac1f6b6435d0,1
0067cae4-bb9d-11e8-b2b9-ac1f6b6435d0,3
0067f542-bba1-11e8-b2b9-ac1f6b6435d0,1
006a8c72-bbc8-11e8-b2bc-ac1f6b6435d0,3
006cde8a-bbbb-11e8-b2ba-ac1f6b6435d0,0
006f3dde-bbc9-11e8-b2bc-ac1f6b6435d0,0
006f5b04-bbb3-11e8-b2ba-ac1f6b6435d0,3
00716b36-bba6-11e8-b2ba-ac1f6b6435d0,1
0072d080-bbaf-11e8-b2ba-ac1f6b6435d0,1
0074cfce-bbab-11e8-b2ba-ac1f6b6435d0,1
00751f10-bbab-11e8-b2ba-ac1f6b6435d0,1
007811e6-bbbc-11e8-b2ba-ac1f6b6435d0,3
007c0304-bbbd-11e8-b2ba-ac1f6b6435d0,2
007d009a-bb9c-11e8-b2b9-ac1f6b6435d0,1
00822d20-bbc1-11e8-b2bb-ac1f6b6435d0,0
00855996-bbad-11e8-b2ba-ac1f6b6435d0,1
008761b4-bbad-11e8-b2ba-ac1f6b6435d0,1
00884f46-bbc3-11e8-b2bc-ac1f6b6435d0,1
0088a1b6-bbb5-11e8-b2ba-ac1f6b6435d0,3
0089bdfe-bbc8-11e8-b2bc-ac1f6b6435d0,2
008a780e-bb9e-11e8-b2b9-ac1f6b6435d0,2
008a8630-bb9b-11e8-b2b9-ac1f6b6435d0,3
008b8e7c-bbb4-11e8-b2ba-ac1f6b6435d0,1
0092d59c-bba5-11e8-b2ba-ac1f6b6435d0,2
00934176-bbaf-11e8-b2ba-ac1f6b6435d0,0
0093f39a-bbc9-11e8-b2bc-ac1f6b6435d0,3
0097150a-bbc1-11e8-b2bb-ac1f6b6435d0,0
00984a2c-bbaa-11e8-b2ba-ac1f6b6435d0,1
