Id,Target,target_list,target_vec
31126_320_F5_1,12 13,"[12, 13]","[False, False, False, False, False, False, False, False, False, False, False, False, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
39634_413_H5_2,25 13,"[25, 13]","[False, False, False, False, False, False, False, False, False, False, False, False, False, True, False, False, False, False, False, False, False, False, False, False, False, True, False, False]"
63534_1294_B10_3,25 13,"[25, 13]","[False, False, False, False, False, False, False, False, False, False, False, False, False, True, False, False, False, False, False, False, False, False, False, False, False, True, False, False]"
64220_1191_G3_3,13,[13],"[False, False, False, False, False, False, False, False, False, False, False, False, False, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
8272_68_D6_1,25 13,"[25, 13]","[False, False, False, False, False, False, False, False, False, False, False, False, False, True, False, False, False, False, False, False, False, False, False, False, False, True, False, False]"
18805_934_G4_3,13 21,"[13, 21]","[False, False, False, False, False, False, False, False, False, False, False, False, False, True, False, False, False, False, False, False, False, True, False, False, False, False, False, False]"
49511_735_E7_1,13 21,"[13, 21]","[False, False, False, False, False, False, False, False, False, False, False, False, False, True, False, False, False, False, False, False, False, True, False, False, False, False, False, False]"
54381_1642_C5_8_cr57bc54d1dfecd,13 21,"[13, 21]","[False, False, False, False, False, False, False, False, False, False, False, False, False, True, False, False, False, False, False, False, False, True, False, False, False, False, False, False]"
49926_1587_G2_2,13,[13],"[False, False, False, False, False, False, False, False, False, False, False, False, False, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
40505_415_B11_1,13 0,"[13, 0]","[True, False, False, False, False, False, False, False, False, False, False, False, False, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
55617_909_A12_2,25 13,"[25, 13]","[False, False, False, False, False, False, False, False, False, False, False, False, False, True, False, False, False, False, False, False, False, False, False, False, False, True, False, False]"
53322_1310_B6_1,13 0,"[13, 0]","[True, False, False, False, False, False, False, False, False, False, False, False, False, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
49103_738_G9_3,13 5,"[13, 5]","[False, False, False, False, False, True, False, False, False, False, False, False, False, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
25967_604_B7_1,25 13 11,"[25, 13, 11]","[False, False, False, False, False, False, False, False, False, False, False, True, False, True, False, False, False, False, False, False, False, False, False, False, False, True, False, False]"
3434_205_F10_2,6 13 21,"[6, 13, 21]","[False, False, False, False, False, False, True, False, False, False, False, False, False, True, False, False, False, False, False, False, False, True, False, False, False, False, False, False]"
12072_102_H9_2,25 13 21,"[25, 13, 21]","[False, False, False, False, False, False, False, False, False, False, False, False, False, True, False, False, False, False, False, False, False, True, False, False, False, True, False, False]"
28696_497_G7_3,25 13 21,"[25, 13, 21]","[False, False, False, False, False, False, False, False, False, False, False, False, False, True, False, False, False, False, False, False, False, True, False, False, False, True, False, False]"
46512_979_H10_3,13 21,"[13, 21]","[False, False, False, False, False, False, False, False, False, False, False, False, False, True, False, False, False, False, False, False, False, True, False, False, False, False, False, False]"
28448_254_C5_2,25 13 21,"[25, 13, 21]","[False, False, False, False, False, False, False, False, False, False, False, False, False, True, False, False, False, False, False, False, False, True, False, False, False, True, False, False]"
16787_651_D4_3,13 21,"[13, 21]","[False, False, False, False, False, False, False, False, False, False, False, False, False, True, False, False, False, False, False, False, False, True, False, False, False, False, False, False]"
23871_285_A5_3,12 25 13 21,"[12, 25, 13, 21]","[False, False, False, False, False, False, False, False, False, False, False, False, True, True, False, False, False, False, False, False, False, True, False, False, False, True, False, False]"
62232_1106_G4_3,13 21,"[13, 21]","[False, False, False, False, False, False, False, False, False, False, False, False, False, True, False, False, False, False, False, False, False, True, False, False, False, False, False, False]"
17342_166_F9_2,25 13,"[25, 13]","[False, False, False, False, False, False, False, False, False, False, False, False, False, True, False, False, False, False, False, False, False, False, False, False, False, True, False, False]"
1439_52_F11_1,25 13,"[25, 13]","[False, False, False, False, False, False, False, False, False, False, False, False, False, True, False, False, False, False, False, False, False, False, False, False, False, True, False, False]"
51179_831_F6_3,25 13,"[25, 13]","[False, False, False, False, False, False, False, False, False, False, False, False, False, True, False, False, False, False, False, False, False, False, False, False, False, True, False, False]"
57434_1300_A5_1,25 13,"[25, 13]","[False, False, False, False, False, False, False, False, False, False, False, False, False, True, False, False, False, False, False, False, False, False, False, False, False, True, False, False]"
11133_87_A8_1,25 13,"[25, 13]","[False, False, False, False, False, False, False, False, False, False, False, False, False, True, False, False, False, False, False, False, False, False, False, False, False, True, False, False]"
28844_497_G5_1,25 13,"[25, 13]","[False, False, False, False, False, False, False, False, False, False, False, False, False, True, False, False, False, False, False, False, False, False, False, False, False, True, False, False]"
46491_795_B6_15,13,[13],"[False, False, False, False, False, False, False, False, False, False, False, False, False, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
5724_11_H3_1,22 13 21,"[22, 13, 21]","[False, False, False, False, False, False, False, False, False, False, False, False, False, True, False, False, False, False, False, False, False, True, True, False, False, False, False, False]"
46512_979_H10_2,13 21,"[13, 21]","[False, False, False, False, False, False, False, False, False, False, False, False, False, True, False, False, False, False, False, False, False, True, False, False, False, False, False, False]"
6028_33_C7_2,12 13,"[12, 13]","[False, False, False, False, False, False, False, False, False, False, False, False, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
28651_283_A5_1,25 13 0,"[25, 13, 0]","[True, False, False, False, False, False, False, False, False, False, False, False, False, True, False, False, False, False, False, False, False, False, False, False, False, True, False, False]"
73950_1711_F11_1,13,[13],"[False, False, False, False, False, False, False, False, False, False, False, False, False, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
38450_452_E3_3,13 23 2,"[13, 23, 2]","[False, False, True, False, False, False, False, False, False, False, False, False, False, True, False, False, False, False, False, False, False, False, False, True, False, False, False, False]"
3880_68_F11_1,12 13,"[12, 13]","[False, False, False, False, False, False, False, False, False, False, False, False, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
49926_808_D7_1,13,[13],"[False, False, False, False, False, False, False, False, False, False, False, False, False, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
22494_612_A11_1,25 13 21,"[25, 13, 21]","[False, False, False, False, False, False, False, False, False, False, False, False, False, True, False, False, False, False, False, False, False, True, False, False, False, True, False, False]"
48028_747_A8_2,13 0 21,"[13, 0, 21]","[True, False, False, False, False, False, False, False, False, False, False, False, False, True, False, False, False, False, False, False, False, True, False, False, False, False, False, False]"
31770_780_H5_2,13 4,"[13, 4]","[False, False, False, False, True, False, False, False, False, False, False, False, False, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
5724_11_H3_1,22 13 21,"[22, 13, 21]","[False, False, False, False, False, False, False, False, False, False, False, False, False, True, False, False, False, False, False, False, False, True, True, False, False, False, False, False]"
48028_695_B10_1,13 0 21,"[13, 0, 21]","[True, False, False, False, False, False, False, False, False, False, False, False, False, True, False, False, False, False, False, False, False, True, False, False, False, False, False, False]"
17888_1417_H7_4,13 2,"[13, 2]","[False, False, True, False, False, False, False, False, False, False, False, False, False, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
